y,x,t,y_image,x_image,retrieval_local_zenith_angle,quantitative_local_zenith_angle,retrieval_solar_zenith_angle,day_solar_zenith_angle,night_solar_zenith_angle,sst_c,time
0.13451199,0.034608014,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,9.430697,2020-07-28T00:30:05.934142976
0.13339199,-0.021391992,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.424738,2020-07-28T00:30:05.934142976
0.13339199,-0.019151995,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.221594,2020-07-28T00:30:05.934142976
0.13339199,-0.011311993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,11.031906,2020-07-28T00:30:05.934142976
0.13339199,-0.0023519925,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.426056,2020-07-28T00:30:05.934142976
0.13339199,-0.0012319923,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.696503,2020-07-28T00:30:05.934142976
0.13339199,-0.00011199266,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,18.051605,2020-07-28T00:30:05.934142976
0.13339199,0.001008007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.350853,2020-07-28T00:30:05.934142976
0.13339199,0.004368007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.084259,2020-07-28T00:30:05.934142976
0.13339199,0.0054880073,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,15.28231,2020-07-28T00:30:05.934142976
0.13339199,0.006608007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,14.84493,2020-07-28T00:30:05.934142976
0.13339199,0.0077280076,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,14.478584,2020-07-28T00:30:05.934142976
0.13339199,0.008848007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,15.875732,2020-07-28T00:30:05.934142976
0.13339199,0.012208007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,12.548187,2020-07-28T00:30:05.934142976
0.13339199,0.0133280065,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,14.883179,2020-07-28T00:30:05.934142976
0.13339199,0.014448008,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,14.319893,2020-07-28T00:30:05.934142976
0.13339199,0.015568006,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,15.034566,2020-07-28T00:30:05.934142976
0.13339199,0.016688008,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.055166,2020-07-28T00:30:05.934142976
0.13339199,0.03236801,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,6.8510437,2020-07-28T00:30:05.934142976
0.13339199,0.03684801,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,8.872299,2020-07-28T00:30:05.934142976
0.13227198,-0.043791994,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,27.398163,2020-07-28T00:30:05.934142976
0.13227198,-0.018031994,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,20.033985,2020-07-28T00:30:05.934142976
